C,#,Producto,Sec
49,3,Yerba 1 k - Titrayju,PCL
49,1,Tomate triturado 950 g - Buena Cosecha,PCL
49,2,Soda sifón 2 l - Trechel,PCL
49,1,"Amargo limon 1,5 l - Linares",PCL
49,10,Leche largavida Descremada 1 L - Milkaut,PCL
49,1,Rollos de cocina 3 u - Dicha,PCL
49,1,Papel higienico 6u x 30 mts - Elegante,PCL
53,2,Aceite de girasol 900 cc - Zanoni,ALM
53,1,Lata choclo en granos 350 g - Del Agricultor,ALM
53,2,Lata de Arvejas 350 g - Del Agricultor,ALM
53,2,Tomate perita 400 g - Mora,ALM
53,4,Atún en lata desmenuzado 170 g - Bahía,ALM
53,1,Arroz largo fino 1 kg - Lucchetti,ALM
53,1,Harina 0000 1 kg - Chacabuco,ALM
53,1,Porotos de alubia 400 g - Del Agricultor,ALM
53,1,Lentejas agroecológicas 500 g - Poroto Santto,ALM
53,1,Galletitas Pepas 400 g - Terepín,ALM
53,3,Café de filtro 250 g - La Virginia,ALM
53,2,Mostaza 250 g - Savora,ALM
53,1,Manies pelados salados 250 g - Pronoar,ALM
53,1,Magdalenas rellenas con dulce de leche 250 g - Pozo,FRA
53,1,Galletitas dulces con avena 180 g - Marinozzi,FRA
53,5,Familiar Salvado 600 g - Don Yeyo,FRA
53,3,Pan cinco semillas esenciales 400 g - Don Yeyo,FRA
53,4,Galletitas de arroz 150 g - Molinos del Bosque,FRA
53,1,Lengüitas de orégano o criollas 150 g - El Mejunje,FRA
53,2,Prepizza 2 u - Mil Hojas,FRE
53,1,Marucha de cerdo 1k - Frigorífico Los Abuelos,FRE
53,2,Queso cremoso 500 g - Lácteos Rosario,FRE
53,1,Manteca pan 200 g - La Cabaña,FRE
53,1,Canasta de Quesos familiar - Lácteos La Resistencia,FRE
53,1,Queso reggianito 250 g - Lácteos La Resistencia,FRE
53,1,Milanesas de soja 4 u - Shanti,FRE
53,1,Crema de leche 200 g - La Cabaña,FRE
53,3,Tapas de empanadas 15 u - Don Sixto,FRE
53,4,Tapas de tarta 2 u - Don Sixto,FRE
53,1,Ravioles integrales de ricota y verdura - Panamby,FRZ
53,1,Hamburguesas de roquefort al verdeo - Souno,FRZ
53,1,Canasta de verduras grande (13 productos) - Misión Verde,FYV
53,1,Lavandina 1000 cc - El Libertador,LIM
53,1,Perfumina 900 cc - El Libertador,LIM
53,1,Jabon liquido repuesto x 300 ml - Algabo,LIM
53,2,Bolsa de consorcio x 10 unidades 45x60 - Cooperativa La Esperanza,LIM
53,1,Jabon cremoso x 3 u x 125 g - Nivea,LIM
53,1,Pañuelos descartables 6 u - Elegante,LIM
53,2,Dentífrico 90 g - Colgate,LIM
53,1,Desodorante aerosol - Dove,LIM
53,6,Toallas femeninas 8 u - Siempre Libre,LIM
53,1,Protectores diarios sin alas 20 u - Carefree,LIM
53,1,Detergente 300 ml - Cif,LIM
53,1,Esponja cuadriculada 1 u - Mortimer,LIM
53,1,Esponja de acero 1 u - Task,LIM
53,1,Desodorante para inodoro con red 25 g - Poett,LIM
53,1,Shampoo de romero - Selvamor,LIM
53,1,Yerba 1 k - Titrayju,PCL
53,1,Yerba despalada 1/2 k - Titrayju,PCL
53,1,Cerveza en lata Cream Ale 473 ml - Keinkater,PCL
53,9,Leche largavida Descremada 1 L - Milkaut,PCL
53,6,Rollos de cocina 3 u - Dicha,PCL
53,3,Papel higienico 6u x 30 mts - Elegante,PCL
111,2,Aceite de girasol 900 cc - Zanoni,ALM
111,1,Rocio de Girasol para cocinar 150 cc - Zanoni,ALM
111,1,Aceite de oliva organico extra virgen 500 cc - Pronoar,ALM
